"transcript_id","original_text","guess_text","transcript_line_status_id"
97,"Hello my name is Monica. TS and I am going to have a conversation with","Hello, my name is Monica Diaz, and I'm going to have a conversation with Ash",4
97,"posh for visible lives An Oral History Project at the New","Faith for Visible Lives, an oral history project at the New",4
97,"York Public Library. Today's January thirteenth two thousand and fifteen","York Public Library. Today is January 13th, 2015,",4
97,"and this is being recorded at the New York public office","and this is being recorded at the New York public office,",4
97,"public library office in midtown Manhattan. And","public library office near midtown Manhattan. And",4
97,"can you start by telling us a little bit about yourself.","can you start by telling us a little bit about yourself?",4
97,"My name is ASH faith","Hi, guys. My name is Ash Faith",4
97,"and for way way to go as the","and, boy, where do I begin? Um.",4
97,". Average manic brain injury.","I have a traumatic brain injury.",4
97,"I entered a two month","I entered a two-month",4
97,"coma and woke up randomly thing and I was into","and woke up randomly thinking I was into",4
97,"work when I was really back brace and I wrote that","work when I was really in a back brace in a hospital bed",4
97,"book and I have after waking and those in","and I ... after waking ... that was in",4
97,"august twenty ten. The","August 2010. The",4
97,"accident was in June two thousand and ten and so home I","accident was in June 2010, so two-month coma....",4
97,"mean wake up afterwards and I stayed in","I mean, wake up afterwards and I then stayed in",4
97,"both a hospital and a rehabilitation facility for the","both a hospital and a rehabilitation facility for the",4
97,"ration of the year. And I actually had to","duration of the year. And I actually had to",4
97,". Balance. From the facility that","bounce from the facility that",4
97,"I was in because my vehicle cruelty.","I was in because medical cruelty.",4
97,"So.","So. [laughs.]",4
97,"My my the school of hard","my, um, my school of hard",4
97,"knocks for say. Was not only the mother's cruelty but","knocks, per se, was not only the medical cruelty but",4
97,"also leaving. An institution","also leaving an institution",4
97,"early in the branches","early and, going with the punches",4
97,"he never came.","in New York City in whatever way it came.",4
97,"On the set and about how","That must have been difficult. How ...",4
97,"to talk a little bit more about their time and there are so many","Tell me a little bit more about your time in the rehab facility",4
97,"cold turkey.","altered",4
97,"Well I mean. Even though he woke up in the","Well, I mean. Um, even though I woke up in the",4
97,"hospital and was in rehabilitation you know.","hospital, it was in rehabilitation unit, so....",4
97,"My accident. Was on June June","My accident. Was on June, June",4
97,"sixth when he turned. Three weeks after graduating college","sixth, 2010. Three weeks after graduating college.",4
97,"I was just one of those situations where it was at the wrong place at","It was just one of those situations where I was at the wrong place at",4
97,"the wrong time and. I","the wrong time, and I",4
97,"ended up being in the same car as a drunk driver and","ended up being in the same car as a drunk driver, and",4
97,"he ended up crashing onto a form in the","he ended up crashing into a pole on a",4
97,"major highway and because I didn't have my","major highway, and because I didn't have my",4
97,"seatbelt on. Being in the back seat I ended up flying to the","seatbelt on, being in the back seat, I ended up flying through the",4
97,"wind. Into the Woods. My skull and","window into the woods. My skull and",4
97,"brain cheered against each other and I flew","brain sheared against each other, and I flew",4
97,"so far they couldn't find me for a minute.","so far they couldn't find me for a minute.",4
97,"So they found me and I was in a nasty","But they found me, and I was in a nasty",4
97,"coma.","coma.",4
