"transcript_id","sum"
1,10449
2,25264
3,12412
4,11737
5,25123
6,47478
7,18312
8,13267
9,3358
10,40770
11,3438
12,41555
13,53484
14,22020
15,7129
16,26044
17,32592
18,27675
19,19529
20,23800
21,21253
22,47414
23,36422
24,23678
25,62365
26,71417
27,9831
28,45390
29,30695
30,39043
31,87521
32,52092
33,34702
34,40300
35,23825
36,14585
37,47577
38,29225
39,8390
40,93175
41,65626
42,25000
43,23451
44,2930
45,8946
46,40220
47,28569
48,40263
49,54852
50,35496
51,30561
52,27187
53,21704
54,11174
55,5423
56,59885
57,8704
58,44971
59,59801
60,77496
61,85810
62,39721
63,70713
64,36018
65,49779
66,116960
67,13185
68,30874
69,3518
70,58173
71,37413
72,24134
73,37166
74,66056
75,10155
76,1955
77,6015
78,12296
79,9981
80,7430
81,2967
82,17716
83,77305
84,37012
85,37844
86,23584
87,48459
88,54550
89,82406
90,41858
91,40622
92,10777
93,5469
94,46691
95,13103
96,5495
97,30408
98,110119
99,41828
100,2082
101,4838
102,3540
103,36307
104,36059
105,95313
106,31422
107,14041
108,29593
109,23472
110,17169
111,1606
112,3101
113,34429
114,48388
115,40131
116,23278
117,2194
118,14749
119,45079
120,62706
121,15886
122,29582
123,12654
124,25779
125,32042
126,43253
127,31491
128,20282
129,13874
130,14271
131,18457
132,31597
133,47098
134,60161
135,17446
136,44918
137,53524
138,30198
139,36532
140,36976
141,28203
142,30889
143,42762
144,38696
145,46669
146,48011
147,24585
148,33431
149,109077
150,34087
151,19009
153,19935
154,3245
155,56462
156,37258
158,28200
159,55532
160,11067
161,31088
162,19351
163,22803
164,27580
165,13224
166,13823
167,25822
168,22648
169,36556
170,24327
171,17312
172,47392
173,20772
174,27376
175,54138
176,18442
177,57857
178,45194
179,43691
180,35558
181,36459
182,55101
183,24092
184,16343
185,35369
186,19469
187,21534
188,17654
189,33981
190,27267
191,30866
192,82924
193,71170
194,9774
195,13269
196,16534
197,16736
198,45686
199,55859
200,34490
201,29478
202,29246
203,27250
204,30220
205,19022
206,26462
207,9961
208,50247
209,5582
210,37559
212,33531
213,48555
214,11952
215,40144
216,7601
217,16659
218,72542
219,6188
220,42254
221,11965
222,68920
223,14209
224,22402
225,36546
227,27466
228,49895
229,29815
230,17542
231,39353
232,14936
233,22369
234,55802
235,20651
236,20181
237,18637
238,27133
239,26548
240,23619
241,18902
242,49917
243,20821
244,33153
245,39708
246,39410
247,24517
248,23579
249,50884
250,38234
251,61024
252,53191
253,26105
254,27514
255,40297
256,11766
257,45712
258,51621
259,19053
260,39470
261,18964
262,56534
263,48779
265,23464
266,31681
267,35804
268,3292
269,32034
270,61677
271,26145
272,33826
273,9037
274,36947
275,71454
276,43166
277,10267
278,36457
279,46828
280,22332
281,21669
282,31191
283,28739
284,29295
285,11293
286,33144
287,49844
288,17060
289,41565
290,29745
291,7062
292,23447
293,21032
294,43174
295,35711
296,62946
297,26213
298,19245
299,22150
300,17877
301,32165
302,48290
303,40645
304,35273
305,48969
307,22291
308,32653
309,2605
310,35414
311,39967
312,68081
313,57898
314,53617
315,12486
316,26615
317,10031
318,80590
319,36825
320,59345
321,40090
322,32428
323,9565
324,18262
325,12533
326,53578
327,14458
328,40377
329,29147
330,36318
331,68227
332,61155
333,7056
334,25566
335,10257
336,6792
337,36185
338,69617
339,16549
340,31969
341,53406
342,47428
343,27234
345,8824
346,47061
347,27437
348,4088
349,28626
350,29267
351,59255
352,20437
353,11718
354,27938
355,31427
